name,id,found,desc
Adoración Salas Chonco,Q112133372,Adoracion Salas Chonco,Equatoguinean politician
Agapito Edu Ndong,Q112175129,Agapito Edu Ndong,Equatoguinean politician
Agapito Mba Mokuy,Q24574730,Agapito Mba Mokuy,Equatorial Guinean politician
Agustin Nse Nfumu,Q36908601,Agustín Nze Nfumu,Equatoguinean politician
Agustin Nze Nfumu,Q36908601,Agustín Nze Nfumu,Equatoguinean politician
Agustín Nse Nfumu,Q36908601,Agustín Nze Nfumu,Equatoguinean politician
Alberto Doria Lajay,Q112175131,Alberto Doria Lajay,Equatoguinean politician
Alejandro Bacale Ncogo,Q112162957,Alejandro Bacale Ncogo,Equatoguinean politician
Alejandro Evuna Owono Asangono,Q112162958,Alejandro Evuna Owono Asangono,Equatoguinean politician
Alejandro Micha Nsue,Q112175132,Alejandro Micha Nsue,Equatoguinean politician
Alfonso Nsue Mokuy,Q112128551,Alfonso Nsue Mokuy,Equatoguinean politician
Alfonso Nsué Mokuy,Q112128551,Alfonso Nsue Mokuy,Equatoguinean politician
Alfredo Mitogo Mitogo,Q112133375,Alfredo Mitogo Mitogo,Equatoguinean politician
Alfredo Mitogo Mitogo Ada,Q112133375,Alfredo Mitogo Mitogo,Equatoguinean politician
Amparo Mele Kolifa,Q112133378,Amparo Mele Collfa,Equatoguinean politician
Anastasio Asumu Mum Muñoz,Q112133227,Anastasio Asumu Mum Muñoz,Equatoguinean politician
Anatolio Ndong Mba,Q112133229,Anatollo Ndong Mba,Equatoguinean politician
Andres Ndong Micha,Q112175133,Andres Ndong Micha,Equatoguinean politician
Angel Eyene Avini,Q112175134,Angel Eyene Avini,Equatoguinean politician
Angel Masie Mibuy,Q112128540,Angel Masie Mibuy,Equatoguinean politician
Angel Masié Mibuy,Q112128540,Angel Masie Mibuy,Equatoguinean politician
Angel Mesie Mibuy,Q112128540,Angel Masie Mibuy,Equatoguinean politician
Angel Serafin Seriche Dougan,Q251902,Ángel Serafín Seriche Dougan,Equatorial Guinea politician
Aniceto Ebiaca Moete,Q112128556,Aniceto Ebiaka Moete,Equatoguinean politician
Aniceto Ebiaca Muete,Q112128556,Aniceto Ebiaka Moete,Equatoguinean politician
Aniceto Ebiaka Muete,Q112128556,Aniceto Ebiaka Moete,Equatoguinean politician
Anselmo Ondó Esono,Q112133234,Anselmo Ondo Esono Asangono,Equatoguinean politician
Antonio Fernando Nve Ngu,Q112128529,Antonio Fernando Nve Ngu,Equatoguinean politician
Antonio Javier Nguema Nchama,Q112133235,Antonio Javier Nguema Nchama,Equatoguinean politician
Antonio Martin Ndong Nchuchuma,Q112162962,Antonio Martin Ndong Ntutumu,Equatoguinean politician
Antonio Martin Ndong Ntutumu,Q112162962,Antonio Martin Ndong Ntutumu,Equatoguinean politician
Antonio Mba Nguema Mikue,Q63731266,Antonio Mba Nguema,Equatoguinean politician
Antonio Nve Nseng,Q112162963,Antonio Nve Nseng,Equatoguinean politician
Antonio Obama Ndong,Q112175138,Antonio Obama Ndong,Equatoguinean politician
Antonio Oko Ebobo,Q112133236,Antonio Pascual Oko Ebobo,Equatoguinean politician
Antonio-Pascual Oko Ebobo,Q112133236,Antonio Pascual Oko Ebobo,Equatoguinean politician
Armando Dougan Champion,Q112175139,Armando Dougan Champion,Equatoguinean politician
Atalia Modesta Baha Ondo,Q112175140,Atalia Modesta Baha Ondo,Equatoguinean politician
Atanasio Ela Ntugu Nsa,Q112128507,Atanasio Ela Ntugu Nsa,Equatoguinean politician
Baltasar Engonga Edjo,Q112162967,Baltasar Engonga Edjo,Equatoguinean politician
Baltasar Esono Eworo Fono,Q112175141,Baltasar Esono Eworo Fono,Equatoguinean politician
Baltasar Esono Eworo Nfono,Q112175141,Baltasar Esono Eworo Fono,Equatoguinean politician
Baltazar Engonga Edjo,Q112162967,Baltasar Engonga Edjo,Equatoguinean politician
Basilio Abá,Q112175144,Basilio Abá,Equatoguinean politician
Bonifacio Mitogo Edjang,Q112175145,Bonifacio Mitogo Edjang,Equatoguinean politician
Braulio Ncogo Abegue,Q112162969,Braulio Ncogo Abegue,Equatoguinean politician
Buenaventura Monsuy Asumu,Q112175146,Buenaventura Monsuy Asumu,Equatoguinean politician
Candido Muatetema Rivas,Q1149802,Cándido Muatetema Rivas,Prime Minister of Equatorial Guinea (1960-2014)
Candido Ondó Nchama,Q112175148,Candido Ondó Nchama,Equatoguinean politician
Caridad Besari Borilo,Q112175149,Caridad Besari Borilo,Equatoguinean politician
Carlos Eyi Obama,Q112128527,Carlos Eyi Obama Nsang,Equatoguinean politician
Carlos Nsue Otong,Q103916241,Carlos Nguema Nsue Otong,Equatoguinean politician
Carlos Ntutumu Nengono,Q112175150,Carlos Ntutumu Nengono,Equatoguinean politician
Carmelo Martin Modu Ebuka,Q112175152,Carmelo Martin Modu Ebuka,Equatoguinean politician
Carmelo Modu Acuse Bindang,Q112162970,Carmelo Modu Acusé Bindang,Equatoguinean politician
Carmelo Modu Akuse Bindang,Q112162970,Carmelo Modu Acusé Bindang,Equatoguinean politician
Celestino Bonifacio Bacale Obiang,Q5057941,Celestino Bonifacio Bacale,Equatorial-Guinean politician (1957-2021)
Celestino Bonifacio Bakale Obiang,Q5057941,Celestino Bonifacio Bacale,Equatorial-Guinean politician (1957-2021)
Cesar Aguado Hinestrosa Gomez,Q112175154,Cesar Aguado Hinestrosa Gomez,Equatoguinean politician
