item,name,gender,positionItem,position,startDate,endDate,source,sourceDate,psid
Q103916279,TEODORO BIYOGO NSUE OKOMO,male,Q112186154,"Consejero a la Presidencia de la República en Materia de Protocolo, Ceremonias y Viajes de Estado",2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q103916279-2E201503-37E2-44E9-AA3E-FFDF3F7C82AD
Q103916282,VICTORIANO BIBANG NSUE OKOMO,male,Q111021195,Ministro de Defensa Nacional,2020,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q103916282-DAFA5EBC-AB8E-455E-97BD-A513032244E3
Q104702792,MARI-CRUZ EVUNA ANDEME,female,Q112187535,Directora General de Organismos Internacionales,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q104702792-804E8CA9-0146-4A35-9D6E-BFBE647481BC
Q112054486,DIOSDADO NSUE MILANG,male,Q111020058,Ministro de Sanidad y Bienestar Social,2013-09-04,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112054486-BB9CD7DF-D0F1-41EC-9702-F0F5B81BE787
Q112128474,VICTORIANA NCHAMA NSUE OKOMO,female,Q112186154,Consejera a la Presidencia del Gobierno en Materia de Organismos Internacionales en el Ministerio de Asuntos Exteriores y Cooperación,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112128474-40F170B8-6DAE-426E-8BAE-44782FC310B2
Q112128490,MARCELINO OYONO NTUTUMU,male,Q112186154,Consejero a la Presidencia de la República Encargado de la Coordinación con el GE-PROYECTOS,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112128490-74A85232-EC2F-407A-A5DD-386FB419D6A4
Q112128528,FIDEL-MARCOS MAÑE NCOGO,male,Q112186154,Consejero a la Presidencia del Gobierno en Materia de Industria e Infraestructuras de Calidad en el Ministerio de Industria y Energía,2020-08-18,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112128528-A4735C9D-0CCF-4A1F-90AB-5E47EC323DEE
Q112128540,Angel Masie Mibuy,male,Q112162701,Vice-Prime Minister,2016-06-24,,,,Q112128540-BF7A4BFB-D3CA-4EBF-BFD0-C45DF086A08A
Q112128551,Alfonso Nsue Mokuy,male,Q112162701,Vice-Prime Minister,2015-04-15,,,,Q112128551-110C1237-E487-4AAC-9D6D-6AD9EAD4FCF7
Q112133244,EUCARIO BACALE ANGÜE,male,Q112162686,Ministro de la Función Pública y Reforma Administrativa,2019-04-10,,https://www.guineaecuatorialpress.com/noticias/el_gobierno_de_la_republica_de_guinea_ecuatorial,2022-05-31,Q112133244-92B2A32B-D728-4F04-B03A-1A45E682184F
