position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Teodoro Obiang,Q57385,1979-08-03,male,1942-06-05,,"Teodoro Obiang detail, 1650FRP051.jpg",Teodoro Obiang Nguema Mbasogo
Vice-President,Teodoro Nguema,Q477201,2012-05-21,male,1968-06-25,,,Teodoro Nguema Obiang Mangue
Prime Minister,Francisco Pascual Obama Asue,Q24761111,2016-06-22,male,1949-04-21,,,Francisco Pascual Obama Asue
Minister of Civil Aviation,Norborto-Bartolomé Mensuy Mañe Andeme,Q112175227,2020,,,,,
Minister of Education,Clemente Engonga Nguema Andeme,Q112162972,2019-04-10,,,,,
Minister of Information,Virgilio Seriche Riloha,Q112175249,2020,,,,,
Minister of Public Works,Clemente Ferreiro Villarino,Q112175156,2020,,,,,
Minister of Transport,Rufino Ovono Ondo,Q112175236,2020,,,,,
Deputy Minister of Agriculture,Santiago Francisco Engonga Esono,Q112175240,2020,,,,,
Deputy Minister of Fisheries,Gerónimo-Carlos Osa Osa Nzang,Q112175182,2020,,,,,
Deputy Minister of Foreign Affairs,Pedro Nguema Ndong,Q112175231,2020,,,,,
Deputy Minister of Health,Dámaso Mitoha Ondo'O Ayecaba,Q112175166,2018,,,,,
Deputy Minister of Industry and Energy,Cesar Aguado Hinestrosa Gomez,Q112175154,2020,,,,,
Deputy Minister of Information,Atalia Modesta Baha Ondo,Q112175140,2020,,,,,
Deputy Minister of Mines,Santiago Mba Eneme Nsuga,Q112175241,2020,,,,,
Deputy Minister of National Defence,Cándido Ncogo Engono Nchama,Q112175162,2020,,,,,
Deputy Minister of Public Administration,Santiago Nsobeya Barreiros,Q112175242,2020,,,,,
Deputy Minister of Public Works,Pascual Ondo Nse Oyana,Q112175228,2020,,,,,
Deputy Minister of Transport,Honorato Evita Oma,Q112175188,2020,,,,,
"Deputy Minister of Work, Employment Promotion and Social Security",Manuel Cristobal Morgades Ichaka,Q112175206,2020,,,,,
Minister Delegate of Education,Manuela Roca Botey,Q112175210,2020,,,,,
Minister Delegate of Finance,Valentin Ela Maye,Q112175246,2020,,,,,
Minister Delegate of Justice,Juan Olo Mba Nseng,Q112175200,2018,,,,,
Minister Delegate of National Security,Heriberto Meko Mbengono,Q112133249,2018,male,,,,
Minister Delegate of Trade,Alberto Doria Lajay,Q112175131,2020,,,,,
Secretary General of the Presidency,Baltasar Esono Eworo Fono,Q112175141,2020,,,,,
Vice-Minister to the Presidency,Armando Dougan Champion,Q112175139,2020,,,,,
