name,id,found,desc
Adoracion Salas Chonco,Q112133372,Adoracion Salas Chonco,Equatoguinean politician
Agapito Mba Mokuy,Q24574730,Agapito Mba Mokuy,Equatorial Guinean politician
Alfonso Nsue Mokuy,Q112128551,Alfonso Nsue Mokuy,Equatoguinean politician
Alfredo Mitogo Mitogo,Q112133375,Alfredo Mitogo Mitogo,Equatoguinean politician
Anastasio Asumu Mum Munoz,Q112133227,Anastasio Asumu Mum Muñoz,Equatoguinean politician
Angel Masie Mibuy,Q112128540,Angel Masie Mibuy,Equatoguinean politician
Antonio Fernando Nve Ngu,Q112128529,Antonio Fernando Nve Ngu,Equatoguinean politician
Antonio Mba Nguema,Q63731266,Antonio Mba Nguema,
Atanasio Ela Ntugu Nsa,Q112128507,Atanasio Ela Ntugu Nsa,Equatoguinean politician
Candido Muatetema Rivas,Q1149802,Cándido Muatetema Rivas,Prime Minister of Equatorial Guinea (1960-2014)
Conrado Okenve Ndoho,Q112133387,Conrado Okenve Ndoho,Equatoguinean politician
Consuelo Ondo Nsang,Q112133389,Consuelo Ondo Nsang,Equatoguinean politician
Cristobal Menana Ela,Q112128524,Cristóbal Meñana Ela,Equatoguinean politician
Cándido Nsue Okomo,Q112162550,Cándido Nsue Okomo,politician in Equatorial Guinea
Demetrio Elo Ndong Nsefumu,Q112128517,Demetrio Elo Ndong Nsefumu,Equatoguinean politician
Enrique Mercader Costa,Q112133587,Enrique Mercader Costa,Equatoguinean politician
Eucario Bakale Angüe,Q112133244,Eucario Bakale Angüe,Equatoguinean politician
Eugenio Nse Obiang,Q112133750,Eugenio Nse Obiang,Equatoguinean politician
Eulalia Envo Bela,Q112133557,Eulalia Envo Bela,Equatoguinean politician
Evangelina Oyo Ebule,Q42907516,Evangelina Oyo Ebule,Equatorial Guinean politician
Fausto Abeso Fuma,Q5438322,Fausto Abeso Fuma,Equatoguinean diplomat
Filiberto Ntutumu Nguema,Q45320454,Filiberto Ntutumu Nguema,
Fortunato Ofa Mbo Nchama,Q112128545,Fortunato Ofa Mbo Nchama,Equatoguinean politician
Francisca Tatchoup Belope,Q112133405,Francisca Tatchoup Belope,Equatoguinean politician
Francisco Mba Olo Bahamonde,Q112128550,Francisco Mba Olo Bahamonde,Equatoguinean politician
